4.4-30.2019, Best friends from france 2019, by Jean-Philippe Bretin | Vanessa Dziuba | Sammy Stein | Séverine Bascouert, /2f/bff.html, residency
4.3.2019 (Wen) 7:30pm-, FREE TIME, *電子音楽昔話「聞け！電子音楽の夜明けを！」,none, community
3.31.2019 (Sun) 3pm-, アンビエントお茶会①, pe hu talk 07, /jp/show/talk/, community
3.22.2019 (Fri) 8pm-, 靴下ハギレの会, by sarakona_at_last,none, community
3.22.2019 (Fri) 7pm-, FREE TIME, *使ってないもの使ってみる,none, community
3.21.2019 (Thu) 9pm-, 夜の遠足, *午後9時に ペフ を出発,none, community
3.20.2019 (Wen) 9pm-, 夜の遠足, *午後9時に 12sodomy 集合,none, community
3.17-3.30.2019, なかよしフェアー, by Scent | Pure Voyage | tbpj | abi, /2f/nakayoshi_fair.html, shop
3.17-3.30.2019, residency for なかよしフェアー,Josefina Valman | Emilio Algo, /2f/nakayoshi_fair.html, residency
3.16.2019 (Sat) 7pm-, DAVID BOWIE BOOTLEG VIEWING VOL.1 : BERLIN 2002 +, by sailor@紐育春秋, /jp/show/031619.html, community
3.13.2019 (Wen) 8pm-, 靴下ハギレの会, by sarakona_at_last,none, community
3.12.2019 (Tue) 12:00-9pm, 船川工務店, by Shoji Funakawa,none, community
3.11.2019 (Mon) 7pm-, かおちょに聞きたい50のこと, ペフのメンバーのことをもっと知る会,none, community
3.8.2019 (Fri) 6pm-, 世界中の言葉を使う, 英語だけで会話しながらトランプで遊ぶ会,none, community
3.6.2019 (Wen) 7pm-, 夜の遠足, 環状線ぐるぐるまわる,none, community
3.2.2019 (Sat), FREE TIME, *凧上げをしよう,none, community
2.27.2019 (Wen) 8:30pm-, FREE TIME, *白湯をゆっくり飲む, none, community
2.27.2019 (Wen) 2pm-, 昼の散歩, *午後2時に、地下鉄四つ橋線　北加賀屋駅４番出口集合,none, community
2.25.2019 (Mon) 8pm-, VAMPIRE✞HUNTER™ one man gig, DJ: sarakona_at_last, /jp/show/022519.html, live
2.24.2019 (Sun) 3pm-, Nice Shop Su, pe hu talk 06, /jp/show/talk/, community
2.22-3.8.2019, NS5, Nice shop su 5th anniversary exhibition, /2f/ns5.html, show
2.15.2019 (Fri) 8pm-, 夜の散歩, "by saralona_at_last, kazuma sasajima",none, community
2.10.2019 (Sun) 5pm-, #10FEB19SUN, by Gerard Lebik | Takahiro Kawaguchi | Yan Conk / New Smith + Shoji Funakawa | KeitaroTamura, /jp/show/021019.html, live
2.8.2019 (fri) 6pm-, FREE TIME, *映画を見ます,none, community
2.4-2.16.2019, MS1, by Isshuumawattetsurai | Mizuho Kuki | Rina Cho, /2f/ms1.html, show
2.2.2019 (Sat) 7pm-, サウンドチェック, by DJ方 | PULASEI | dinamishaisuke | ハマジ(KK manga), /jp/show/020219.html, live
1.27.2019 (Sun) 3pm-, 千沙子と純太の謎, pe hu talk 05, /jp/show/talk/, community
1.26-1.27.2019, HF+S1, by Masami Baba | Nobuto Okawahara | Gaku Kurokawa | Shoji Funakawa, /2f/hf1.html, show
1.20.2019 (Sun) 6pm-, れんれんの試食会, by Dove | sarakona at last | Kaori Nakao, /jp/show/012019.html, community
1.18.2019 (Fri) 9pm-, Concert, by Sami Elu, /jp/show/011819.html, live
1.7-1.19.2019, TWS 1, by Fumio Kohama | Stefan Alexander | Shintaro Matsuo, /2f/tws1.html, show
1.6.2019 (Sun), SIGN, Grand Opening Party, /jp/show/sign.html, community
12.30.2018 (Sun) 3pm-, OPEN TALK, pe hu talk 04, /jp/show/talk/, community
12.28.2018 (Fri) 8pm-, woopheadclrmsと遊ぼう, 遊び相手:seaketa, /jp/show/122818.html, community
12.2.2018(Sun) 4pm-, 全員リリパ, by ∧° ┐, /jp/show/riripa.html, live
12.1.2018(Sat), #magicringmakefriendship, LIVERARY Extra内で、マジックリングポップアップストアをゲリラオープンします。, http://newlifecollection.com/ca1/3/p-r1-s/, shop
11.20-11.30.2018, The Great Tokyo Summit, "by Newell Walther, emamouse, しー没, Aisha Mizuno, Haretsu, 星川あさ子",none, show
11.25.2018 (Sun) 3pm-, SNS in China, pe hu talk 03, /jp/show/talk/, community
11.24.2018 (Sat) 7pm-, 別冊0, 特集其の一　木下和重のセグメンツ第二回「セグメンツワークショップ」 | 特集其の二　ソロパフォーマンスの世界 古池寿浩／船川翔司／黒川岳, /jp/show/112418.html, live
11.19.2018 (Mon) 7:30pm-, John Chantler | 米子匡司, by Saya | Shoji Funakawa, /jp/show/111918.html, live
11.12.2018 (Mon) 7pm-, Lucie Vítková | Sand Circles, by Kazumichi Komatsu, /jp/show/111218.html, live
11.9.2018 (Fri) 8pm-, NEO GAIA PHANTASY, Equip | R23X | Death's Dynamic Shroud, /show/neogaiaphantasy/, live
11.2.2018 (Fri) 3pm-, 仙台での4日間と最近のめりすのこと, by Shaisuke Dinami, none, community
10.28.2018 (Sun) 3pm-, GAFA, pe hu talk 02, /jp/show/talk/, community
10.27.2018 (Sat), secret show, MEMBERS ONLY,none, members
10.22.2018 (Mon) 8pm-, Galaxy Express 555 / アキツユコ, \2000, /show/555aki/, live
10.20-10.21.2018 (Sat/Sun), NEW LIFE COLLECTION, in 全感覚祭 18, http://pyouth-mag.com/zenkankaku18/, community
10.13-10.14.2018 (Sat/Sun), 老松古美術祭, "by 琥珀 | Kohaku, モアレ | Moire", and more, http://www4.famille.ne.jp/~soeki/new.htm, shop
10.8.2018 (Mon/Holiday) 3pm-, バスケしよう, 会場：八幡屋公園多目的広場,none, community
9.29.2018 (Sat) 6pm-, Age of, pe hu talk 01, /jp/talk/, community
9.22-24.2018, 壁を壊す, by creative members,none, members
9.16.2018 (Sun) 3pm-, バスケしよう, 会場：八幡屋公園多目的広場,none, community
9.10.2018 (Mon) 8pm-, Dinner at the rooftop, ,none, members
8.19.2018 (Sun), ギャルになろう, ,none, members
8.17.2018 (Fri) 7pm-, Meeting, we will restart pehu with great friends,none, members
6.16.2018 (Sat) 4pm-, die Reihe «Gemini Season» June in Japan 2018, "Public Recording of "Kerri Chandler Chords for Strings Quartet" and more", /show/agaveexpressionism/, live
4.29.2018 (Sun), 琥珀 POP UP SHOP, , https://royalwhiteamber.tumblr.com/, shop
4.18.2018 (Wed) 8pm-, Estienne, by Marina Mardas | V VIII | ⁵ᶠᵗ⁴⁶,none, live
4.21-4.30.2018, 快晴後期, by 16 young japanese artists, /1f/kaisei.html, show
