empty,0,mon,none,none,none,none,none,none,none,none,none
empty,0,tue,none,none,none,none,none,none,none,none,none
empty,0,wed,none,none,none,none,none,none,none,none,none
empty,0,thu,none,none,none,none,none,none,none,none,none
open,1,fri,yes,yes,yes,NS5,yes,8pm-,雪遊びについて考える,,none
open,2,sat,yes,yes,run,,yes,-,凧揚げをしよう,,none
close,3,sun,none,none,none,none,none,none,none,none
open,4,mon,yes,yes,run,,yes,7pm-,質問を考える,,none
open,5,tue,yes,yes,run,,none,none,none,none,none,none
open,6,wed,yes,yes,run,,yes,7pm-,夜の散歩,,none,none
open,7,thu,yes,yes,run,,none,none,none,none,none,yes
open,8,fri,yes,yes,last,NS 5,yes,6pm-,英語だけで会話しながらトランプで遊ぶ,,none
close,9,sat,none,none,none,none,none,none,none,none
close,10,sun,none,none,none,none,none,none,none,none
open,11,mon,yes,yes,none,none,yes,7pm-,かおちょに聞きたい50のこと,,none
open,12,tue,yes,yes,none,none,none,none,none,none,none
open,13,wed,yes,yes,none,none,yes,8pm-,靴下ハギレの会,,none
open,14,thu,yes,yes,none,none,none,none,none,none,yes
open,15,fri,yes,yes,none,none,none,none,none,none,none
open,16,sat,none,none,none,none,pickup,7pm-,春の嵐の夜のBOWIEまつり,¥1000-,none
open,17,sun,none,none,yes,なかよしフェア,none,none,none,none,none
open,18,mon,yes,yes,run,,none,none,none,none,none
open,19,tue,yes,yes,run,,yes,6pm-,翻訳の会,,none
open,20,wed,yes,yes,run,,yes,9pm-,夜の遠足,,none
open,21,thu,yes,yes,run,,none,none,none,none,none
open,22,fri,yes,yes,run,,yes,7pm-,使ってないもの使ってみる,,none
open,23,sat,yes,yes,run,,none,none,none,none,none
close,24,sun,none,none,none,none,none,none,none,none
open,25,mon,yes,yes,run,,none,none,none,none,none
open,26,tue,yes,yes,run,,none,none,none,none,none
open,27,wed,yes,yes,run,,none,none,none,none,none
open,28,thu,yes,yes,run,,none,none,none,none,none
open,29,fri,yes,yes,run,,yes,7pm-,ふなに聞きたい50のこと,,none
open,30,sat,yes,yes,last,,yes,8pm-,closing karaoke party,,none
open,31,sun,none,none,none,none,pickup,3pm-,アンビエントお茶会 #01,,none
